receiver,metric,band_hz,target,prediction
R_00x20y,t20,125,5.643971212346544,2.0311829623966124
R_00x20y,t20,250,2.211440041572608,2.216744158359481
R_00x20y,t20,500,2.1185543566886302,2.2105013357625483
R_00x20y,t20,1000,1.8779081891794835,2.082544516284694
R_00x20y,t20,2000,2.0188694891591314,2.0364838333584916
R_00x20y,t20,4000,1.7492404436901166,1.7577208675112124
R_00x20y,t20,8000,1.1546544929687,1.1963548825177346
R_15x40y,t20,125,5.24870473061876,2.25091473747955
R_15x40y,t20,250,2.2362975029086773,2.24527969431245
R_15x40y,t20,500,2.04183443304955,2.2462530244549916
R_15x40y,t20,1000,1.8425500081023867,2.0922124695719755
R_15x40y,t20,2000,1.975355402317205,2.0518394861706133
R_15x40y,t20,4000,1.6921628899740322,1.8401741961458764
R_15x40y,t20,8000,1.1413500485963997,1.195673652362192
R_30x00y,t20,125,4.5181704440481925,1.9656039351072558
R_30x00y,t20,250,2.5270500732315675,2.4287654552396893
R_30x00y,t20,500,2.0474574192894757,2.242066306994405
R_30x00y,t20,1000,1.900576150470351,2.021620417421455
R_30x00y,t20,2000,1.9494637000876818,2.0336499317013073
R_30x00y,t20,4000,1.7283309144215306,1.8177292693402767
R_30x00y,t20,8000,1.1190407202398613,1.204062537162522
R_40x30y,t20,250,2.3088797109074415,2.1096896007516577
R_40x30y,t20,500,2.269310960562598,2.266728287334476
R_40x30y,t20,1000,1.906945453642093,2.183001889402746
R_40x30y,t20,2000,2.00015735657735,2.0527558247650104
R_40x30y,t20,4000,1.7134505406232012,1.7994232495047588
R_40x30y,t20,8000,1.1538209280348974,1.2123164316102868
R_60x15y,t20,125,6.203911889674429,2.138301132304215
R_60x15y,t20,250,2.1605912368237647,2.1865862114294736
R_60x15y,t20,500,2.1601015400130805,2.177752211016479
R_60x15y,t20,1000,1.9201734173887237,2.1259022202911253
R_60x15y,t20,2000,2.0170344827541955,2.0630332047921764
R_60x15y,t20,4000,1.7365657787420206,1.7805995735283169
R_60x15y,t20,8000,1.1573123959465188,1.183243738553444
