receiver,metric,band_hz,target,prediction
R_00x20y,t20,125,5.643971212346544,1.955953127794333
R_00x20y,t20,250,2.211440041572608,1.7912105847230841
R_00x20y,t20,500,2.1185543566886302,1.5991684559520223
R_00x20y,t20,1000,1.8779081891794835,1.3997880816143193
R_00x20y,t20,2000,2.0188694891591314,1.3722165766452414
R_00x20y,t20,4000,1.7492404436901166,1.222422432831694
R_00x20y,t20,8000,1.1546544929687,0.8550257830175961
R_15x40y,t20,125,5.24870473061876,2.2186539059326864
R_15x40y,t20,250,2.2362975029086773,1.80068539733414
R_15x40y,t20,500,2.04183443304955,1.683019038071603
R_15x40y,t20,1000,1.8425500081023867,1.3208758302048162
R_15x40y,t20,2000,1.975355402317205,1.3664776052284298
R_15x40y,t20,4000,1.6921628899740322,1.2300144093734315
R_15x40y,t20,8000,1.1413500485963997,0.8488600399177294
R_30x00y,t20,125,4.5181704440481925,1.7591105601386658
R_30x00y,t20,250,2.5270500732315675,2.053163406259791
R_30x00y,t20,500,2.0474574192894757,1.5580123345470132
R_30x00y,t20,1000,1.900576150470351,1.4566185525714574
R_30x00y,t20,2000,1.9494637000876818,1.393211608416366
R_30x00y,t20,4000,1.7283309144215306,1.2516342547429982
R_30x00y,t20,8000,1.1190407202398613,0.8618999272052542
R_40x30y,t20,250,2.3088797109074415,1.659530007202981
R_40x30y,t20,500,2.269310960562598,1.6165861538205666
R_40x30y,t20,1000,1.906945453642093,1.4300333654898572
R_40x30y,t20,2000,2.00015735657735,1.3871920627435852
R_40x30y,t20,4000,1.7134505406232012,1.2270264847097758
R_40x30y,t20,8000,1.1538209280348974,0.8570871789169793
R_60x15y,t20,125,6.203911889674429,1.9556721497901284
R_60x15y,t20,250,2.1605912368237647,1.7218575765243629
R_60x15y,t20,500,2.1601015400130805,1.5531114284982037
R_60x15y,t20,1000,1.9201734173887237,1.4025018343252518
R_60x15y,t20,2000,2.0170344827541955,1.3947409712974723
R_60x15y,t20,4000,1.7365657787420206,1.2385041209817245
R_60x15y,t20,8000,1.1573123959465188,0.8480586729752818
