receiver,metric,band_hz,target
R_00x00y,edt,63,1.6195185255144753
R_00x00y,edt,125,14.865759828791523
R_00x00y,edt,250,2.2126521014276443
R_00x00y,edt,500,1.7428245312196122
R_00x00y,edt,1000,1.8758138280750591
R_00x00y,edt,2000,2.0114175637793994
R_00x00y,edt,4000,1.689005881798499
R_00x00y,edt,8000,1.097177747204971
R_00x00y,t20,63,2.4486737985664893
R_00x00y,t20,250,2.240696661376856
R_00x00y,t20,500,2.1947427930726033
R_00x00y,t20,1000,1.830002652327183
R_00x00y,t20,2000,1.9993383732304013
R_00x00y,t20,4000,1.7178466261275247
R_00x00y,t20,8000,1.1820316191883087
R_00x00y,c50,63,-6.78201549949697
R_00x00y,c50,125,-5.12705404658098
R_00x00y,c50,250,-4.585705138975143
R_00x00y,c50,500,-6.104876809461571
R_00x00y,c50,1000,-7.069464082059213
R_00x00y,c50,2000,-6.351633766306395
R_00x00y,c50,4000,-6.5532654086902955
R_00x00y,c50,8000,-4.52097859289594
R_00x00y,c80,63,-0.42208729826780694
R_00x00y,c80,125,-3.9572525576215405
R_00x00y,c80,250,-0.7061581541285687
R_00x00y,c80,500,-2.6614816956757803
R_00x00y,c80,1000,-2.2478747613610053
R_00x00y,c80,2000,-2.783639458908227
R_00x00y,c80,4000,-2.231990570271476
R_00x00y,c80,8000,0.434869405293239
R_00x05y,edt,63,1.7638836559413837
R_00x05y,edt,125,13.747528938655039
R_00x05y,edt,250,1.9611698795424064
R_00x05y,edt,500,2.1325523724526105
R_00x05y,edt,1000,1.7119904511329114
R_00x05y,edt,2000,2.065378621790929
R_00x05y,edt,4000,1.7180167353561593
R_00x05y,edt,8000,1.0887938947726596
R_00x05y,t20,63,2.579051518225624
R_00x05y,t20,250,2.2201173572590376
R_00x05y,t20,500,1.911272211517838
R_00x05y,t20,1000,1.8733874576391423
R_00x05y,t20,2000,1.9200682305062007
R_00x05y,t20,4000,1.7116129615052158
R_00x05y,t20,8000,1.2083175184932125
R_00x05y,c50,63,-9.845628104574017
R_00x05y,c50,125,-10.569776198127535
R_00x05y,c50,250,-7.288531880315149
R_00x05y,c50,500,-5.746875198724567
R_00x05y,c50,1000,-4.830857382703134
R_00x05y,c50,2000,-5.162253681332414
R_00x05y,c50,4000,-5.199973063808416
R_00x05y,c50,8000,-3.5609593222610636
R_00x05y,c80,63,-1.700815147168693
R_00x05y,c80,125,-7.605618640243303
R_00x05y,c80,250,-3.7888426176928762
R_00x05y,c80,500,-3.6125840144295083
R_00x05y,c80,1000,-0.9529104052446556
R_00x05y,c80,2000,-2.3941187350938025
R_00x05y,c80,4000,-0.9881029409346597
R_00x05y,c80,8000,1.016056270792923
R_00x10y,edt,63,1.9132704422286455
R_00x10y,edt,125,12.089678210060484
R_00x10y,edt,250,2.350787594864255
R_00x10y,edt,500,1.7580082883853416
R_00x10y,edt,1000,1.8618657204888411
R_00x10y,edt,2000,2.0016474911159614
R_00x10y,edt,4000,1.7185492507363178
R_00x10y,edt,8000,1.0883294422706655
R_00x10y,t20,63,2.706638323080137
R_00x10y,t20,250,2.1877327481282625
R_00x10y,t20,500,2.0912191048148987
R_00x10y,t20,1000,1.9353276707069895
R_00x10y,t20,2000,1.9993547097940287
R_00x10y,t20,4000,1.692287543738258
R_00x10y,t20,8000,1.168285983119754
R_00x10y,c50,63,-12.466584932647141
R_00x10y,c50,125,-14.972384262316883
R_00x10y,c50,250,-8.148423067687474
