receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.8707190707764592
R_00x20y,t20,125,5.643971212346544,2.0311825561384746
R_00x20y,t20,250,2.211440041572608,2.2167499788260536
R_00x20y,t20,500,2.1185543566886302,2.210482294030778
R_00x20y,t20,1000,1.8779081891794835,2.082531564623234
R_00x20y,t20,2000,2.0188694891591314,2.036485590356783
R_00x20y,t20,4000,1.7492404436901166,1.757724407369026
R_00x20y,t20,8000,1.1546544929687,1.1963536107721149
R_15x40y,t20,63,2.4042264479123165,2.090415846259597
R_15x40y,t20,125,5.24870473061876,2.2509152178661944
R_15x40y,t20,250,2.2362975029086773,2.2452835898211068
R_15x40y,t20,500,2.04183443304955,2.2462450996584495
R_15x40y,t20,1000,1.8425500081023867,2.0921982422069276
R_15x40y,t20,2000,1.975355402317205,2.051851306218595
R_15x40y,t20,4000,1.6921628899740322,1.8401759244595828
R_15x40y,t20,8000,1.1413500485963997,1.1956726544943295
R_30x00y,t20,63,2.5228254703312136,1.5355450344515953
R_30x00y,t20,125,4.5181704440481925,1.9656049002495541
R_30x00y,t20,250,2.5270500732315675,2.4287682483646558
R_30x00y,t20,500,2.0474574192894757,2.242036938057097
R_30x00y,t20,1000,1.900576150470351,2.021608811270726
R_30x00y,t20,2000,1.9494637000876818,2.0336269652374432
R_30x00y,t20,4000,1.7283309144215306,1.8177296127158251
R_30x00y,t20,8000,1.1190407202398613,1.2040618095314226
R_40x30y,t20,63,2.408793926515104,1.9742484405663638
R_40x30y,t20,250,2.3088797109074415,2.1096843995294097
R_40x30y,t20,500,2.269310960562598,2.266729292616933
R_40x30y,t20,1000,1.906945453642093,2.1830003243442966
R_40x30y,t20,2000,2.00015735657735,2.0527557873111113
R_40x30y,t20,4000,1.7134505406232012,1.799419226950791
R_40x30y,t20,8000,1.1538209280348974,1.212317187720766
R_60x15y,t20,63,2.482007554301767,1.8423074334794367
R_60x15y,t20,125,6.203911889674429,2.1382993193130826
R_60x15y,t20,250,2.1605912368237647,2.1865767860515666
R_60x15y,t20,500,2.1601015400130805,2.1777234548993545
R_60x15y,t20,1000,1.9201734173887237,2.1258910319005566
R_60x15y,t20,2000,2.0170344827541955,2.0630346492133764
R_60x15y,t20,4000,1.7365657787420206,1.7805964718290506
R_60x15y,t20,8000,1.1573123959465188,1.1832436679394003
