receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,3.036717419859899
R_00x20y,t20,500,2.1185543566886302,2.9184427571531057
R_00x20y,t20,1000,1.8779081891794835,1.718004449018642
R_00x20y,t20,2000,2.0188694891591314,2.2547594878830255
R_00x20y,t20,4000,1.7492404436901166,1.6112853150832898
R_00x20y,t20,8000,1.1546544929687,1.2524387399166992
R_15x40y,t20,250,2.2362975029086773,3.217990116088002
R_15x40y,t20,500,2.04183443304955,2.8872838415684052
R_15x40y,t20,1000,1.8425500081023867,1.6949004667751568
R_15x40y,t20,2000,1.975355402317205,2.332710551955118
R_15x40y,t20,4000,1.6921628899740322,1.6578372751972288
R_15x40y,t20,8000,1.1413500485963997,1.2632652843088652
R_30x00y,t20,250,2.5270500732315675,3.5335263569407687
R_30x00y,t20,500,2.0474574192894757,2.988308511568226
R_30x00y,t20,1000,1.900576150470351,1.7525798785170312
R_30x00y,t20,2000,1.9494637000876818,2.285933153700589
R_30x00y,t20,4000,1.7283309144215306,1.6273768831256412
R_30x00y,t20,8000,1.1190407202398613,1.277370026856906
R_40x30y,t20,250,2.3088797109074415,3.5366731424736133
R_40x30y,t20,500,2.269310960562598,3.03520238340556
R_40x30y,t20,1000,1.906945453642093,1.6567305548138331
R_40x30y,t20,2000,2.00015735657735,2.3779614390170734
R_40x30y,t20,4000,1.7134505406232012,1.6620495623109146
R_40x30y,t20,8000,1.1538209280348974,1.281796108038635
R_60x15y,t20,250,2.1605912368237647,3.4231828897937047
R_60x15y,t20,500,2.1601015400130805,2.9584858483883387
R_60x15y,t20,1000,1.9201734173887237,1.6216696039048748
R_60x15y,t20,2000,2.0170344827541955,2.213480557560091
R_60x15y,t20,4000,1.7365657787420206,1.6182179559926737
R_60x15y,t20,8000,1.1573123959465188,1.2558708634850706
