receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.8707190698248872
R_00x20y,t20,125,5.643971212346544,2.0311826155248682
R_00x20y,t20,250,2.211440041572608,2.2167460899852043
R_00x20y,t20,500,2.1185543566886302,2.2104933832332048
R_00x20y,t20,1000,1.8779081891794835,2.082539016744922
R_00x20y,t20,2000,2.0188694891591314,2.036495733384216
R_00x20y,t20,4000,1.7492404436901166,1.7577199479335393
R_00x20y,t20,8000,1.1546544929687,1.1963514012301026
R_15x40y,t20,63,2.4042264479123165,2.0904158479036705
R_15x40y,t20,125,5.24870473061876,2.2509145837692497
R_15x40y,t20,250,2.2362975029086773,2.2452814479491687
R_15x40y,t20,500,2.04183443304955,2.246247183211719
R_15x40y,t20,1000,1.8425500081023867,2.092202802034653
R_15x40y,t20,2000,1.975355402317205,2.0518447258994543
R_15x40y,t20,4000,1.6921628899740322,1.8401794917970455
R_15x40y,t20,8000,1.1413500485963997,1.1956718554560581
R_30x00y,t20,63,2.5228254703312136,1.5355450332935048
R_30x00y,t20,125,4.5181704440481925,1.965604695674336
R_30x00y,t20,250,2.5270500732315675,2.4287665959707314
R_30x00y,t20,500,2.0474574192894757,2.242052903938428
R_30x00y,t20,1000,1.900576150470351,2.0216199602811926
R_30x00y,t20,2000,1.9494637000876818,2.0336262570879287
R_30x00y,t20,4000,1.7283309144215306,1.817729655026237
R_30x00y,t20,8000,1.1190407202398613,1.2040609835993248
R_40x30y,t20,63,2.408793926515104,1.9742484371151106
R_40x30y,t20,250,2.3088797109074415,2.1096867761295703
R_40x30y,t20,500,2.269310960562598,2.266727049599518
R_40x30y,t20,1000,1.906945453642093,2.183007584257305
R_40x30y,t20,2000,2.00015735657735,2.052758586564181
R_40x30y,t20,4000,1.7134505406232012,1.799423222232436
R_40x30y,t20,8000,1.1538209280348974,1.2123153936206423
R_60x15y,t20,63,2.482007554301767,1.8423074256321756
R_60x15y,t20,125,6.203911889674429,2.138299638842614
R_60x15y,t20,250,2.1605912368237647,2.186582409291849
R_60x15y,t20,500,2.1601015400130805,2.1777383565315622
R_60x15y,t20,1000,1.9201734173887237,2.125888877571752
R_60x15y,t20,2000,2.0170344827541955,2.0630315121771408
R_60x15y,t20,4000,1.7365657787420206,1.7805962317431756
R_60x15y,t20,8000,1.1573123959465188,1.183244983847725
