receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,1.796674192891278
R_00x20y,t20,500,2.1185543566886302,1.5993710322728767
R_00x20y,t20,1000,1.8779081891794835,1.4153286136182897
R_00x20y,t20,2000,2.0188694891591314,1.3507887021429437
R_00x20y,t20,4000,1.7492404436901166,1.2468214656519112
R_00x20y,t20,8000,1.1546544929687,0.8641294679099932
R_15x40y,t20,250,2.2362975029086773,1.8134989397903671
R_15x40y,t20,500,2.04183443304955,1.677949162711414
R_15x40y,t20,1000,1.8425500081023867,1.4577908835728555
R_15x40y,t20,2000,1.975355402317205,1.419970948189691
R_15x40y,t20,4000,1.6921628899740322,1.2214364483589604
R_15x40y,t20,8000,1.1413500485963997,0.8546739651374187
R_30x00y,t20,250,2.5270500732315675,2.05617404343506
R_30x00y,t20,500,2.0474574192894757,1.553443700332683
R_30x00y,t20,1000,1.900576150470351,1.5006269357738107
R_30x00y,t20,2000,1.9494637000876818,1.3420715249637767
R_30x00y,t20,4000,1.7283309144215306,1.258044771414898
R_30x00y,t20,8000,1.1190407202398613,0.8596735414448027
R_40x30y,t20,250,2.3088797109074415,1.6660749523327951
R_40x30y,t20,500,2.269310960562598,1.613198680527993
R_40x30y,t20,1000,1.906945453642093,1.4596784691829903
R_40x30y,t20,2000,2.00015735657735,1.4260283938511567
R_40x30y,t20,4000,1.7134505406232012,1.206844946165877
R_40x30y,t20,8000,1.1538209280348974,0.878679837213854
R_60x15y,t20,250,2.1605912368237647,1.7230020868189395
R_60x15y,t20,500,2.1601015400130805,1.5461882097265567
R_60x15y,t20,1000,1.9201734173887237,1.3953345376976325
R_60x15y,t20,2000,2.0170344827541955,1.38753460128716
R_60x15y,t20,4000,1.7365657787420206,1.2291432193728786
R_60x15y,t20,8000,1.1573123959465188,0.8678992887657228
